# 보상 받기 버튼을 눌러 보상을 받을려면 퀘스트 데이터에 (후)대화가 없어야 한다.
script 1 	
	
#처음 퀘스트	
10	talk 9000
20	web t01_basicmove.html
25	quest 1997
27	q_complete 1997
30	quest 1500
40	q_complete 1500
50	talk 9002
51	openwin 7 
52	q_pay 1500
53	run 1
55	time 2
#꼬닭을 잡아라 
60	talk 9003
70	web t02_capture.html
80	quest 1501
90	q_complete 1501
91	q_pay 1501
92	run 2
#93	openwin 3
#94	time 2
95	web t03_petctrl.html
96	time 1
	
#펫과 같이 사냥	
100	quest 1763
105	q_complete 1763
110	quest 1502
120	q_complete 1502
121	time 1
122	talk 9007
130	openwin 7
131	q_pay 1502
135	run 3
137	time 3
	
#셀빅에게 가서 교육을 배워봐라
140	quest 1503
150	q_complete 1503
160	talk 9010
170	web t04_education.html
171	run 4
172	openwin 4 0
173	time 3
174	quest 1998
175	q_complete 1998
	
#사냥을 하자	
177	talk 9011
180	quest 1504
190	q_complete 1504
191	time 3
192	quest 1998
194	q_complete 1998
196	talk 9013
200	run 5
210	web t05_basicskill.html
212	run 6
213	openwin 4 1
214	time 3
215	quest 1999
216	q_complete 1999
	
#라울에게 가보자
219	talk 9014
220	quest 1505
230	q_complete 1505
232	q_pay 1505
233	time 2
250	web t06_majoritem.html
252	openwin 5 2
254	time 3
255	quest 1993
256	q_complete 1993
259	talk 9017
	
#장비상점에 가보자
260	quest 1506
270	q_complete 1506
280	q_pay 1506
285	time 2
290	web t07_equips.html
292	openwin 5 0
294	time 3
295	quest 1994
296	q_complete 1994
299	talk 9019
	
#마트에 가보자	
300	quest 1507
310	q_complete 1507
320	q_pay 1507
322	time 2
330	web t08_foods.html
332	openwin 5 2
334	time 3
335	quest 1999
336	q_complete 1999
	
#시공의 돌 모험 시작	
340	talk 9021
345	web t21_stoneinterface.html
#[도움화면] 시공입장시 시공 인터페이스 설명
350	quest 1508
360	q_complete 1508
362	q_pay 1508
365	target 20 38 2550
366	quest 1999
367	q_complete 1999
368	targetoff
369	run 7
370	talk 9022
380	web t09_lare.html
383	run 8
384	time 2
385	quest 1999
386	q_complete 1999
#에릴에게 돌아가기
#강제 좋은 모험가의 옷 지급
	
#샘의 부탁
387	talk 9023
390	quest 1509
394	target 79 2 1
400	q_complete 1509
405	targetoff
410	quest 1510
411	target 140 148 2
412	time 1
#413	run 200
#바로 이동시키기 기능
420	q_complete 1510
425	targetoff
430	q_pay 1510
434	time 1
440	web t10_refine.html
443	run 9
444	time 1
445	quest 1992
446	q_complete 1992
#강제 7레벨 추가
	
#짐의 부탁
447	talk 9026
450	quest 1511
460	q_complete 1511
470	quest 1512
472	time 1
474	run 200
#바로 이동시키기 기능
480	q_complete 1512
484	q_pay 1512
486	run 10
488	time 1
500	web t11_strengthening.html
502	run 11
504	time 1
505	quest 1991
506	q_complete 1991
#강제 목검+1 지급
	
#두번째 펫
508	talk 9029
510	quest 1513
520	q_complete 1513
523	q_pay 1513
525	time 1
535	web t12_miniland.html
543	time 1
544	run 12
545	time 5
546	quest 1990
547	q_complete 1990
548	q_pay 1990
	
#이상한일, 마물 출현
549	talk 9031
550	quest 1514
560	q_complete 1514
570	quest 1515
580	q_complete 1515
592	q_pay 1515
593	run 13
594	time 3
#강제 9레벨 추가
#악세사리 세공하기
595	talk 9033
600	web t13_product.html
610	quest 1516
620	q_complete 1516
623	time 2
625	talk 9034
630	quest 1517
640	q_complete 1517
650	q_pay 1517
660	web t14_option.html
663	time 1
#셀빅에게 도시락 전달하기
665	talk 9036
#맛있는도시락 강제 지급
666	run 28 
670	quest 1518
680	q_complete 1518
690	talk 9038
700	web t15_plusskill.html
702	openwin 4 1
703	run 15
704	run 14
705	time 3
#강제 플러스 스킬 부여
#강제 10레벨 추가
#3초 기다리기
#라울의 부탁
706	talk 9039
710	quest 1519
720	q_complete 1519
725	talk 9040
730	quest 1520
737	run 201
740	q_complete 1520
750	quest 1521
760	q_complete 1521
767	q_pay 1521
768	run 16
769	time 3
#퀘스트창 열기
#보상받는것 체크 추가
#강제 11레벨 추가
#3초 기다리기
#벨로치카의 부탁	
770	talk 9042
780	quest 1522
800	q_complete 1522
820	talk 9043
830	quest 1523
840	q_complete 1523
870	quest 1525
880	q_complete 1525
910	q_pay 1525
920	run 17
930	time 3
#강제 12레벨 추가	
#3초 기다리기	
	
#밀라노에 드리워진 불길한 그림자	
950	quest 1526
955	run 201
970	q_complete 1526
990	talk 9046
1000	quest 1527
1010	q_complete 1527
1020	quest 1530
1030	run 200
1070	q_complete 1530
1100	q_pay 1530
1110	run 18
#강제 13레벨 추가	
#3초 기다리기	
	
#에릴의 부탁	
1120	talk 9048
1125	web t16_changejob.html
#[도움화면:전직]	
1130	quest 1531
1140	q_complete 1531
1145	run 19
1150	talk 9049
1160	quest 1532
1165	run 202
#바로 이동하기
1170	q_complete 1532
1230	q_pay 1532
1240	time 3
#강제 14레벨 진행	
#퀘스트창 열기	
#보상받는것 체크 추가	
#3초 기다리기	
	
#서부광산지역 마물 소탕	
1260	quest 1534
1270	q_complete 1534
#1275	q_pay 1534
1290	run 20
1300	time 1
#강제 15레벨 추가	
#3초 기다리기	
	
#광산의 코볼트들	
1310	quest 1535
1320	q_complete 1535
1330	talk 9054
1340	quest 1536
1350	q_complete 1536
1360	quest 1537
1370	q_complete 1537
1400	q_pay 1537
1410	time 1
#퀘스트창 열기	
#빌에게 망치 건네주기	
1420	quest 1538
1430	q_complete 1538
1440	talk 9056
1450	quest 1539
1460	q_complete 1539
1490	q_pay 1539
1500	run 21
1510	time 3
#강제 16레벨 추가	
#3초 기다리기	
	
#머독과의 대화	
1520	quest 1540
1530	q_complete 1540
1560	q_pay 1540
1570	time 1
	
#코볼트 대화 엿듣기	
1590	quest 1541
1594	target 10 208 3
1600	q_complete 1541
1602	q_pay 1541
1605	targetoff
1620	time 1
1630	quest 1542
1640	q_complete 1542
1650	talk 9063
1660	run 22
#강제 17레벨 추가	
	
1670	quest 1543
1680	q_complete 1543
1690	talk 9064
1700	talk 9065
#[도움화면:속성과 저항력의 관계]	
1705	web t17_attribute.html
1710	quest 1544
1720	q_complete 1544
1725	q_pay 1544
1730	talk 9066
1735	web t18_regist.html
#[도움화면:합성]	
1740	run 23
#강제 3합 모험가신발 지급	
	
#라울의 삼촌 구하기	
1750	talk 9067
1760	quest 1545
1770	q_complete 1545
1780	talk 9068
1790	quest 1546
1800	q_complete 1546
1810	q_pay 1546
1820	time 1
#코볼트 총파업	
#화살표 이동 스크립트	
1830	quest 1547
1840	q_complete 1547
1850	talk 9071
1860	quest 1548
1870	q_complete 1548
1880	q_pay 1548
1890	quest 1549
1900	q_complete 1549
1910	q_pay 1549
1920	quest 1550
1930	q_complete 1550
1940	q_pay 1550
1950	run 24
1952	time 1
#강제 18레벨 추가	
	
#시위현장	
1960	quest 1551
1970	q_complete 1551
1980	talk 9076
1990	run 25
#에릴에게 협상에 대해서 얘기
2000	quest 1552
2010	q_complete 1552
2020	talk 9077
2030	quest 1553
2032	run 202
2040	q_complete 1553
2090	talk 9078
2100	quest 1556
2110	q_complete 1556
